id,title,budget,release_date,revenue,runtime,status
2383,Fantastic Mr. Fox,40000000,2009-10-23,46471023,87,Released
2384,Fantastic Voyage,5115000,1966-08-24,12000000,100,Released
2385,Far Cry,30000000,2008-01-01,,95,Released
2386,Far Out Man,500000,1990-05-11,,81,Released
2387,Far and Away,60000000,1992-05-22,137783840,140,Released
2388,Far from Heaven,13500000,2002-09-01,29027914,107,Released
2389,Far from Men,7700000,2014-08-30,,110,Released
2390,Farewell to the King,16000000,1989-03-03,2420917,117,Released
2391,"Farewell, My Lovely",2500000,1975-08-08,2000000,95,Released
2392,Fargo,7000000,1996-04-05,60611975,98,Released
2393,Fashion,5000000,2008-10-29,,178,Released
2394,Fast & Furious,85000000,2009-04-02,363164265,107,Released
2395,Fast & Furious 6,160000000,2013-05-06,788679850,130,Released
2396,Fast Five,125000000,2011-04-20,626137675,130,Released
2397,Fast Times at Ridgemont High,4500000,1982-08-13,27092880,90,Released
2398,Faster,24000000,2010-11-23,23081726,98,Released
2399,Faster than Rabbits,3000000,2014-01-01,5279982,99,Released
2400,"Faster, Pussycat! Kill! Kill!",45000,1965-08-06,,83,Released
2401,Fat Pizza,400000,2003-04-10,7888102,96,Released
2402,Fatal Attraction,14000000,1987-09-11,320145693,119,Released
2403,Father's Day,10,2011-06-19,,99,Released
2404,Fathers and Daughters,2240000,2015-10-01,,116,Released
2405,Fathers' Day,85000000,1997-05-09,,89,Released
2406,Fear Clinic,1,2014-10-31,,95,Released
2407,Fear No Evil,840000,1981-01-19,,99,Released
2408,Fear and Desire,53000,1953-04-01,,62,Released
2409,Fear and Loathing in Las Vegas,18500000,1998-05-22,10680275,118,Released
2410,FearDotCom,40000000,2002-08-09,18902015,101,Released
2411,Feast II: Sloppy Seconds,2000000,2008-10-07,,97,Released
2412,Fedora,6727000,1978-05-30,,114,Released
2413,Felicity: An American Girl Adventure,6800000,2005-11-29,,86,Released
2414,Felix The Cat: The Movie,9000000,1988-10-01,1964253,82,Released
2415,Fellini Satyricon,3000000,1969-09-18,,129,Released
2416,Felon,2900000,2008-07-17,,103,Released
2417,Female Fight Club,2000000,2017-03-16,,90,Released
2418,Female Trouble,25000,1974-10-04,,97,Released
2419,Female Werewolf,100000,2015-10-16,,65,Released
2420,Femme Fatale,35000000,2002-11-06,16838910,114,Released
2421,Fences,24000000,2016-12-16,64414761,139,Released
2422,Ferdinand the Bull,66260,1938-11-23,,8,Released
2423,Ferpect Crime,6000000,2004-09-10,,105,Released
2424,Ferris Bueller's Day Off,6000000,1986-06-11,70136369,103,Released
2425,Fetching Cody,1,2005-10-01,,87,Released
2426,Fever,6,1999-05-16,,110,Released
2427,Fever Pitch,30000000,2005-04-06,50451307,103,Released
2428,Fiddler on the Roof,9000000,1971-11-03,83304330,181,Released
2429,Fido,8000000,2006-09-07,426224,91,Released
2430,Fierce Light: When Spirit Meets Action,1180000,2008-01-01,,90,Released
2431,Fifty Shades Darker,55000000,2017-02-08,378827494,118,Released
2432,Fifty Shades of Black,20000000,2016-01-28,21164799,92,Released
2433,Fifty Shades of Grey,40000000,2015-02-11,571006128,125,Released
2434,Fight Club,63000000,1999-10-15,100853753,139,Released
2435,Fighter In The Wind,6000000,2004-08-12,,120,Released
2436,Fighting Mad,600000,1976-02-21,,90,Released
2437,Filth,5000000,2013-09-23,9114264,97,Released
2438,Final Destination,23000000,2000-03-16,53302314,98,Released
2439,Final Destination 2,26000000,2003-01-31,90426405,90,Released
2440,Final Destination 3,25000000,2006-02-10,117719158,93,Released
2441,Final Destination 5,47000000,2011-08-12,157887643,92,Released
2442,Final Fantasy: The Spirits Within,137000000,2001-07-02,85131830,106,Released
2443,Find Love,500000,2006-01-01,,0,Released
2444,Find Me Guilty,13000000,2006-03-16,2636637,125,Released
2445,Finding Altamira,9500000,2016-04-01,,97,Released
2446,Finding Dory,200000000,2016-06-16,1028570889,97,Released
2447,Finding Fanny,2489400,2014-09-12,,102,Released
2448,Finding Forrester,43000000,2000-12-21,80049764,136,Released
2449,Finding Mr. Right,4881000,2013-03-20,81350000,123,Released
2450,Finding Nemo,94000000,2003-05-30,940335536,100,Released
2451,Finding Neverland,25000000,2004-10-17,116766556,106,Released
2452,Fire Birds,22000000,1990-05-25,,85,Released
2453,Fire Down Below,60000000,1997-09-05,16000000,105,Released
2454,Fire and Ice,1200000,1983-03-25,760883,81,Released
2455,Fire and Ice: The Dragon Chronicles,3000000,2008-09-18,,84,Released
2456,Fire in the Sky,19885552,1993-03-12,19724334,109,Released
2457,Fire with Fire,20000000,2012-08-31,4636169,97,Released
2458,Fired Up!,20000000,2009-02-20,18599102,90,Released
2459,Firefox,18000000,1982-06-13,70687344,136,Released
2460,Fireproof,500000,2008-09-26,33456317,122,Released
2461,Firestarter,15000000,1984-05-11,17080167,114,Released
2462,Firestarter 2: Rekindled,10000000,2002-03-10,,168,Released
2463,Firestorm,19000000,1998-01-08,,89,Released
2464,Firewall,45000000,2006-02-10,82800000,105,Released
2465,First Blood,15000000,1982-10-22,125212904,93,Released
2466,First Comes Love,500000,2013-05-13,,108,Released
2467,First Daughter,30000000,2004-09-24,,105,Released
2468,First Knight,55000000,1995-07-07,127600435,134,Released
2469,"First Love, Last Rites",300000,1998-08-07,40542,94,Released
2470,Fish Tank,3000000,2009-05-14,2357852,123,Released
2471,Fishtales,14000000,2007-08-24,9216,94,Released
2472,Fist Fight,20000000,2017-02-16,,91,Released
2473,Fist of Fury,100000,1972-03-22,,108,Released
2474,Fist of the North Star,7000000,1995-04-22,,103,Released
2475,Fitzcarraldo,7362000,1982-03-04,,158,Released
2476,Five Graves to Cairo,855000,1943-05-03,1200000,96,Released
2477,Five Minarets in New York,12000000,2010-03-09,,119,Released
2478,Fiza,1000000,2000-09-08,623791,170,Released
2479,Flags of Our Fathers,90000000,2006-10-18,65900249,132,Released
2480,Flame & Citron,6500000,2008-03-25,,130,Released
2481,Flaming Creatures,300,1963-04-29,,45,Released
2482,Flash Gordon,35000000,1980-09-01,27107960,111,Released
2483,Flash Point,8000000,2007-07-26,,88,Released
2484,Flashdance,4000000,1983-04-14,92921203,95,Released
2485,Flatliners,26000000,1990-08-09,61489265,115,Released
2486,Flawless,20000000,2007-09-01,6819587,108,Released
2487,Fled,25000000,1996-07-19,17193231,98,Released
2488,Flesh + Blood,6500000,1985-08-30,,126,Released
2489,Flesh Gordon,700000,1974-07-30,,90,Released
2490,Flesh and the Devil,373000,1926-12-25,658000,112,Released
2491,Flesh for Frankenstein,450000,1973-11-30,,95,Released
2492,Fletch,8000000,1985-05-31,59612888,98,Released
2493,Fletch Lives,8045760,1989-03-17,35150960,95,Released
2494,Flicka,15000000,2006-10-20,21000000,95,Released
2495,Flight,31000000,2012-11-02,161772375,138,Released
2496,Flight Crew,10000000,2016-04-21,27305571,138,Released
2497,Flight of Fury,12000000,2007-02-20,,98,Released
2498,Flight of the Intruder,35000000,1991-01-18,,115,Released
2499,Flight of the Phoenix,45000000,2004-12-17,21009180,113,Released
2500,Flight of the Red Balloon,3000000,2007-05-17,,117,Released
2501,Flightplan,55000000,2005-09-22,223387299,98,Released
2502,Flipped,14000000,2010-08-06,1755212,89,Released
2503,Flipper,25530000,1996-05-17,20080020,95,Released
2504,Flirting with Disaster,7000000,1996-03-22,14702438,92,Released
2505,Florence Foster Jenkins,29000000,2016-05-06,48902953,110,Released
2506,Flowers and Trees,15887,1932-07-30,,8,Released
2507,Flubber,80000000,1997-11-26,177977226,93,Released
2508,Flushed Away,149000000,2006-10-22,64459316,85,Released
2509,Fly Me to the Moon,25000000,2008-08-15,,84,Released
2510,Flyboys,60000000,2006-09-22,17800000,140,Released
2511,Flying Swords of Dragon Gate,35000000,2011-12-15,,125,Released
2512,Flypaper,5000000,2011-08-19,3142154,87,Released
2513,Focus,50100000,2015-02-25,153962963,105,Released
2514,Fog in August,8000000,2016-09-29,,126,Released
2515,Following,6000,1998-09-12,48482,69,Released
2516,Food Chains,913000,2014-04-26,,83,Released
2517,Foodfight!,65000000,2012-06-15,73706,87,Released
2518,Fool's Gold,70000000,2008-02-07,111231041,112,Released
2519,Foolish Wives,1100000,1922-01-11,400200,117,Released
2520,Foolproof,8256269,2003-10-03,460978,97,Released
2521,Foon,1645885,2005-11-30,,0,Released
2522,Footloose,8200000,1984-02-17,80035402,107,Released
2523,Footloose,24000000,2011-10-06,63543328,113,Released
2524,For Greater Glory - The True Story of Cristiada,12000000,2012-06-01,9622846,145,Released
2525,For Love of the Game,50000000,1999-09-17,,137,Released
2526,For Love or Money,30000000,1993-10-01,11146270,94,Released
2527,For Me and My Gal,802000,1942-10-21,4371000,104,Released
2528,For Queen & Country,191051,1988-05-17,,105,Released
2529,For Richer or Poorer,35000000,1997-12-11,31611225,115,Released
2530,For Whom the Bell Tolls,3000000,1943-07-12,,170,Released
2531,For Your Consideration,12000000,2006-11-22,5542025,86,Released
2532,For Your Eyes Only,28000000,1981-06-23,195312802,127,Released
2533,For a Few Dollars More,600000,1965-12-18,15000000,132,Released
2534,"For a Good Time, Call...",850000,2012-08-31,1243961,85,Released
2535,For the Boys,40000000,1991-11-22,23202444,138,Released
2536,For the Love of a Dog,1000000,2008-03-01,,90,Released
2537,For the Moment,120,1993-10-01,,115,Released
2538,Forbidden Kingdom,26000000,2014-01-30,34592118,127,Released
2539,Forbidden Planet,1900000,1956-03-15,3250000,98,Released
2540,Force 10 from Navarone,5000000,1978-11-01,7230000,118,Released
2541,Force of Execution,10000000,2013-12-31,,98,Released
2542,Forces of Nature,75000000,1999-03-12,93888180,105,Released
2543,Foreign Body,1500000,2014-10-17,,117,Released
2544,Foreign Exchange,1000000,2008-09-09,,85,Released
2545,Forest of the Gods,2177870,2005-09-23,,120,Released
2546,Forever,130,2006-10-05,,97,Released
2547,Forever Fever,1070000,1998-05-28,570000,95,Released
2548,Forever Lulu,20000000,2000-01-01,,95,Released
2549,Forgetting Sarah Marshall,30000000,2008-04-17,105173115,111,Released
2550,Forgetting the Girl,200,2012-10-11,,85,Released
2551,Forgotten Silver,650000,1995-10-28,,53,Released
2552,Forrest Gump,55000000,1994-07-06,677945399,142,Released
2553,Forsaken,11000000,2015-09-16,,90,Released
2554,Fort Apache,2500000,1948-03-26,3000000,125,Released
2555,Fort Saganne,6000000,1984-05-11,,180,Released
2556,Fortress,8000000,1992-09-30,6739141,95,Released
2557,Fortress,5000000,2012-04-01,,89,Released
2558,Fortress 2,11000000,1999-10-07,,92,Released
2559,Fortress of War,8500000,2010-11-04,,138,Released
2560,Forty Shades of Blue,1500000,2005-12-07,,108,Released
2561,Found,8000,2012-03-30,,105,Released
2562,Four Brothers,45000000,2005-08-11,92374674,109,Released
2563,Four Christmases,80000000,2008-11-26,163733697,88,Released
2564,Four Eyed Monsters,250000,2005-01-21,245000,71,Released
2565,Four Lions,967686,2010-05-07,4270000,101,Released
2566,Four Minutes,1400000,2006-06-23,,112,Released
2567,Four Rooms,4000000,1995-12-09,4300000,98,Released
2568,Four Weddings and a Funeral,6000000,1994-03-09,254700832,117,Released
2569,Foxcatcher,24000000,2014-05-19,12096300,134,Released
2570,Foxy Brown,500000,1974-04-05,,94,Released
2571,FrackNation,150000,2013-01-07,,77,Released
2572,Frailty,11000000,2001-11-17,13110448,100,Released
2573,Frank Herbert's Children of Dune,20000000,2003-03-25,,248,Released
2574,Frank Herbert's Dune,20000000,2000-12-03,,292,Released
2575,Frankenhooker,2500000,1990-06-01,205068,85,Released
2576,Frankenstein,291000,1931-11-21,12000000,71,Released
2577,Frankenweenie,39000000,2012-10-04,35287788,87,Released
2578,Frankenweenie,1000000,1984-12-14,,29,Released
2579,Franklyn,12000000,2008-10-16,,98,Released
2580,Frantic,20000000,1988-02-16,17637950,120,Released
2581,Freakonomics,3000000,2010-10-01,103735,93,Released
2582,Freaky Friday,26000000,2003-08-03,110230332,97,Released
2583,Fred Claus,100000000,2007-11-03,97838349,116,Released
2584,Freddy vs. Jason,30000000,2003-08-15,114908830,97,Released
2585,Freddy's Dead: The Final Nightmare,11000000,1991-09-05,34872033,89,Released
2586,Free Birds,55000000,2013-10-30,110000000,91,Released
2587,Free Fire,10000000,2017-03-31,3565109,90,Released
2588,Free State of Jones,50000000,2016-06-24,25035950,139,Released
2589,Free Willy,20000000,1993-07-16,153698625,112,Released
2590,Free the Nipple,937000,2014-12-12,,90,Released
2591,Free to Play,150000,2014-03-19,,75,Released
2592,Freedom,14500000,2014-08-21,,98,Released
2593,Freedom Park,275000,2004-09-10,,99,Released
2594,Freedom Writers,21000000,2007-01-05,41170784,123,Released
2595,Freedomland,37665000,2006-02-17,14655628,113,Released
2596,Freeheld,7000000,2015-10-02,573335,103,Released
2597,Freelance,455000,2015-10-06,,130,Released
2598,Freelancers,11000000,2012-08-10,,96,Released
2599,Freeloaders,3000000,2012-12-18,,77,Released
2600,Freerunner,5000000,2011-09-14,,87,Released
2601,Freeway,3000000,1996-08-23,,110,Released
2602,French Women,5000000,2014-06-04,12058187,116,Released
2603,Frenzy,3500000,1972-05-25,12600000,116,Released
2604,Frequency,31000000,2000-04-28,68106245,118,Released
2605,Fresh,412000,2009-05-26,,72,Released
2606,Frida,12000000,2002-08-29,56298474,123,Released
2607,Friday,3500000,1995-04-26,28215918,91,Released
2608,Friday After Next,20000000,2002-11-22,33526835,85,Released
2609,Friday Night Lights,30000000,2004-10-08,61255921,118,Released
2610,Friday the 13th,550000,1980-05-09,59754601,95,Released
2611,Friday the 13th,19000000,2009-02-11,91379051,97,Released
2612,Friday the 13th Part 2,1250000,1981-05-01,21722776,87,Released
2613,Friday the 13th Part III,4000000,1982-08-13,36690067,95,Released
2614,Friday the 13th Part VI: Jason Lives,3000000,1986-08-01,19472057,86,Released
2615,Friday the 13th Part VII: The New Blood,2800000,1988-05-13,19170001,88,Released
2616,Friday the 13th Part VIII: Jason Takes Manhattan,5000000,1989-07-28,14000000,100,Released
2617,Friday the 13th: A New Beginning,2200000,1985-03-22,21930418,92,Released
2618,Friday the 13th: The Final Chapter,2600000,1984-04-13,32980880,91,Released
2619,Fried Green Tomatoes,11000000,1991-12-27,119418501,130,Released
2620,Friend Request,9900000,2016-01-07,2400000,92,Released
2621,Friends with Benefits,35000000,2011-07-21,150483765,109,Released
2622,Friends with Money,6500000,2006-09-07,13368437,88,Released
2623,Fright Night,9000000,1985-08-02,24922237,106,Released
2624,Fright Night,17000000,2011-08-18,24922237,106,Released
2625,Fright Night 2: New Blood,8000000,2013-08-31,,99,Released
2626,Fritz the Cat,850000,1972-04-12,,78,Released
2627,From Beyond,4500000,1986-06-05,1261000,86,Released
2628,From Dusk Till Dawn,19000000,1996-01-19,25836616,108,Released
2629,From Dusk Till Dawn 2: Texas Blood Money,5000000,1999-03-16,,88,Released
2630,From Dusk Till Dawn 3: The Hangman's Daughter,5000000,1999-10-30,,94,Released
2631,From Hell,35000000,2001-10-19,74558115,122,Released
2632,From Here to Eternity,1650000,1953-08-28,30500000,118,Released
2633,From Justin to Kelly,12000000,2003-06-20,4922166,90,Released
2634,From Paris with Love,52000000,2010-02-05,52826594,92,Released
2635,From Prada to Nada,93,2011-01-28,2500000,107,Released
2636,From Russia with Love,2000000,1963-10-11,78898765,115,Released
2637,From a Whisper to a Scream,1100000,1987-09-25,1400000,99,Released
2638,From the Land of the Moon,10300000,2016-10-19,47748,120,Released
2639,Frontier(s),3000000,2007-07-01,,108,Released
2640,Frost,1500000,2012-09-07,,80,Released
2641,Frozen,150000000,2013-11-27,1274219009,102,Released
2642,Frozen Land,2000000,2005-01-14,,127,Released
2643,Fubar,350000,2002-05-24,,76,Released
2644,Fuck You Goethe,5000000,2013-11-07,,119,Released
2645,Full Frontal,2000000,2002-08-02,2506446,96,Released
2646,Full Metal Jacket,17000000,1987-06-26,46357676,116,Released
2647,Full Out,1500000,2015-09-11,,94,Released
2648,Fun Size,14000000,2012-10-25,11417362,87,Released
2649,Fun with Dick and Jane,3000000,1977-03-18,,95,Released
2650,Fun with Dick and Jane,100000000,2005-12-21,202026112,90,Released
2651,Funny Games,15000000,2007-10-20,7938872,112,Released
2652,Funny Girl,14000000,1968-09-19,52223306,149,Released
2653,Funny People,75000000,2009-07-31,61458982,146,Released
2654,Fur: An Imaginary Portrait of Diane Arbus,16800000,2006-08-30,2281089,122,Released
2655,Furious 7,190000000,2015-04-01,1506249360,137,Released
2656,Furry Vengeance,35000000,2010-04-02,39340177,92,Released
2657,Fury,68000000,2014-10-15,211817906,135,Released
2658,Future by Design,250000,2006-06-10,,86,Released
2659,Führer Ex,6854500,2002-08-31,,105,Released
2660,G-Force,150000000,2009-07-21,292817841,88,Released
2661,G.I. Jane,50000000,1997-08-22,48169156,125,Released
2662,G.I. Joe: Retaliation,130000000,2013-03-26,371876278,110,Released
2663,G.I. Joe: The Rise of Cobra,175000000,2009-08-04,302469017,118,Released
2664,GLOW: The Story of the Gorgeous Ladies of Wrestling,33157,2012-08-21,,76,Released
2665,Gabbar Is Back,11000000,2015-05-01,41000000,128,Released
2666,Gabbar Singh,7000000,2012-05-11,16000000,136,Released
2667,Gaby: A True Story,5000000,1987-10-30,125400,110,Released
2668,Gacy,250000,2003-05-13,,88,Released
2669,Gagarin: First in Space,7000000,2013-06-05,,108,Released
2670,Galaxina,5500000,1980-06-06,4865000,95,Released
2671,Galaxy Quest,45000000,1999-12-23,90683916,102,Released
2672,Galaxy of Terror,700000,1981-10-01,,81,Released
2673,Gallipoli,3000000,1981-08-13,11740000,112,Released
2674,Gallowwalkers,17000000,2012-10-27,,90,Released
2675,Game of Death,13000000,2010-11-27,,98,Released
2676,Gamer,50000000,2009-09-03,40828540,95,Released
2677,Gandhi,22000000,1982-11-30,77737889,191,Released
2678,Gangs of New York,100000000,2002-12-14,193772504,167,Released
2679,Gangs of Wasseypur,1400000,2012-06-22,4100000,320,Released
2680,Gangster Squad,60000000,2013-01-10,105200903,113,Released
2681,Gangster Story,75000,1959-12-01,,65,Released
2682,Garden Lovers,460000,2014-03-07,,73,Released
2683,Garden State,2500000,2004-07-28,26781723,102,Released
2684,Garfield,50000000,2004-06-10,200804534,80,Released
2685,Garv: Pride and Honour,1300000,2004-07-09,11000000,162,Released
2686,Gaslight,2068000,1944-05-04,,114,Released
2687,Gattaca,36000000,1997-09-07,12532777,106,Released
2688,Gemma Bovery,9700000,2014-09-10,154701,99,Released
2689,Generation P,7000000,2011-04-14,,112,Released
2690,Generation War,12000000,2013-03-17,,270,Released
2691,Generation X,7000000,1996-12-20,,87,Released
2692,Gentleman's Agreement,2000000,1947-11-11,7800000,118,Released
2693,Gentlemen Broncos,10000000,2009-09-30,,89,Released
